in s,C1 in V
-1.0800E-01,-1.125E+01
-1.0800E-01,-1.042E+01
-1.0798E-01,-1.140E+01
-1.0798E-01,-1.057E+01
-1.0796E-01,-1.155E+01
-1.0796E-01,-1.067E+01
-1.0794E-01,-1.165E+01
-1.0794E-01,-1.082E+01
-1.0791E-01,-1.179E+01
-1.0791E-01,-1.091E+01
-1.0789E-01,-1.194E+01
-1.0789E-01,-1.106E+01
-1.0787E-01,-1.199E+01
-1.0787E-01,-1.116E+01
-1.0785E-01,-1.208E+01
-1.0785E-01,-1.130E+01
-1.0783E-01,-1.213E+01
-1.0783E-01,-1.135E+01
-1.0781E-01,-1.223E+01
-1.0781E-01,-1.145E+01
-1.0778E-01,-1.228E+01
-1.0778E-01,-1.155E+01
-1.0776E-01,-1.238E+01
-1.0776E-01,-1.165E+01
-1.0774E-01,-1.248E+01
-1.0774E-01,-1.174E+01
-1.0772E-01,-1.252E+01
-1.0772E-01,-1.179E+01
-1.0770E-01,-1.262E+01
-1.0770E-01,-1.184E+01
-1.0768E-01,-1.267E+01
-1.0768E-01,-1.194E+01
-1.0765E-01,-1.272E+01
-1.0765E-01,-1.199E+01
-1.0763E-01,-1.277E+01
-1.0763E-01,-1.204E+01
-1.0761E-01,-1.287E+01
-1.0761E-01,-1.213E+01
-1.0759E-01,-1.296E+01
-1.0759E-01,-1.223E+01
-1.0757E-01,-1.296E+01
-1.0757E-01,-1.223E+01
-1.0755E-01,-1.301E+01
-1.0755E-01,-1.228E+01
-1.0752E-01,-1.306E+01
-1.0752E-01,-1.238E+01
-1.0750E-01,-1.311E+01
-1.0750E-01,-1.238E+01
-1.0748E-01,-1.321E+01
-1.0748E-01,-1.238E+01
-1.0746E-01,-1.326E+01
-1.0746E-01,-1.248E+01
-1.0744E-01,-1.331E+01
-1.0744E-01,-1.257E+01
-1.0742E-01,-1.335E+01
-1.0742E-01,-1.262E+01
-1.0740E-01,-1.340E+01
-1.0740E-01,-1.267E+01
-1.0737E-01,-1.350E+01
-1.0737E-01,-1.272E+01
-1.0735E-01,-1.355E+01
-1.0735E-01,-1.277E+01
-1.0733E-01,-1.360E+01
-1.0733E-01,-1.287E+01
-1.0731E-01,-1.375E+01
-1.0731E-01,-1.292E+01
-1.0729E-01,-1.375E+01
-1.0729E-01,-1.296E+01
-1.0727E-01,-1.384E+01
-1.0727E-01,-1.306E+01
-1.0724E-01,-1.394E+01
-1.0724E-01,-1.316E+01
-1.0722E-01,-1.409E+01
-1.0722E-01,-1.316E+01
-1.0720E-01,-1.414E+01
-1.0720E-01,-1.331E+01
-1.0718E-01,-1.423E+01
-1.0718E-01,-1.340E+01
-1.0716E-01,-1.433E+01
-1.0716E-01,-1.355E+01
-1.0714E-01,-1.448E+01
-1.0714E-01,-1.365E+01
-1.0711E-01,-1.458E+01
-1.0711E-01,-1.370E+01
-1.0709E-01,-1.467E+01
-1.0709E-01,-1.384E+01
-1.0707E-01,-1.482E+01
-1.0707E-01,-1.399E+01
-1.0705E-01,-1.492E+01
-1.0705E-01,-1.404E+01
-1.0703E-01,-1.501E+01
-1.0703E-01,-1.414E+01
-1.0701E-01,-1.511E+01
-1.0701E-01,-1.433E+01
