;Scopy version,dda5ec6
;Exported on,dinsdag januari 25/01/2022
;Device,M2K
;Nr of samples,8000
;Sample rate,1e+08
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
0,-4e-05,2.54233,2.47389
1,-3.999e-05,2.54233,2.48841
2,-3.998e-05,2.55686,2.47389
3,-3.997e-05,2.55686,2.47389
4,-3.996e-05,2.55686,2.48841
5,-3.995e-05,2.54233,2.48841
6,-3.994e-05,2.55686,2.50294
7,-3.993e-05,2.51328,2.45936
8,-3.992e-05,2.52781,2.47389
9,-3.991e-05,2.55686,2.47389
10,-3.99e-05,2.55686,2.50294
11,-3.989e-05,2.55686,2.48841
12,-3.988e-05,2.55686,2.48841
13,-3.987e-05,2.57138,2.45936
14,-3.986e-05,2.55686,2.47389
15,-3.985e-05,2.55686,2.48841
16,-3.984e-05,2.54233,2.48841
17,-3.983e-05,2.54233,2.45936
18,-3.982e-05,2.57138,2.45936
19,-3.981e-05,2.52781,2.50294
20,-3.98e-05,2.54233,2.50294
21,-3.979e-05,2.51328,2.45936
22,-3.978e-05,2.52781,2.48841
23,-3.977e-05,2.52781,2.47389
24,-3.976e-05,2.54233,2.48841
25,-3.975e-05,2.54233,2.48841
26,-3.974e-05,2.52781,2.45936
27,-3.973e-05,2.52781,2.48841
28,-3.972e-05,2.54233,2.47389
29,-3.971e-05,2.55686,2.50294
30,-3.97e-05,2.54233,2.51746
31,-3.969e-05,2.55686,2.47389
32,-3.968e-05,2.52781,2.47389
33,-3.967e-05,2.52781,2.50294
34,-3.966e-05,2.54233,2.47389
35,-3.965e-05,2.54233,2.50294
36,-3.964e-05,2.52781,2.48841
37,-3.963e-05,2.54233,2.47389
38,-3.962e-05,2.54233,2.48841
39,-3.961e-05,2.52781,2.48841
40,-3.96e-05,2.55686,2.47389
41,-3.959e-05,2.55686,2.47389
42,-3.958e-05,2.55686,2.47389
43,-3.957e-05,2.52781,2.45936
44,-3.956e-05,2.55686,2.50294
45,-3.955e-05,2.55686,2.48841
46,-3.954e-05,2.52781,2.45936
47,-3.953e-05,2.55686,2.50294
48,-3.952e-05,2.55686,2.50294
49,-3.951e-05,2.54233,2.47389
50,-3.95e-05,2.54233,2.47389
51,-3.949e-05,2.52781,2.45936
52,-3.948e-05,2.54233,2.47389
53,-3.947e-05,2.55686,2.45936
54,-3.946e-05,2.54233,2.45936
55,-3.945e-05,2.54233,2.47389
56,-3.944e-05,2.54233,2.48841
57,-3.943e-05,2.51328,2.45936
58,-3.942e-05,2.54233,2.48841
