in s,C2 in V
-3.00001E-01,3.34891E+00
-2.99996E-01,3.34952E+00
-2.99991E-01,3.34876E+00
-2.99986E-01,3.34860E+00
-2.99981E-01,3.34845E+00
-2.99976E-01,3.34860E+00
-2.99971E-01,3.34845E+00
-2.99966E-01,3.34769E+00
-2.99961E-01,3.34662E+00
-2.99956E-01,3.34601E+00
-2.99951E-01,3.34631E+00
-2.99946E-01,3.34570E+00
-2.99940E-01,3.34540E+00
-2.99935E-01,3.34631E+00
-2.99930E-01,3.34677E+00
-2.99925E-01,3.34677E+00
-2.99920E-01,3.34906E+00
-2.99915E-01,3.34937E+00
-2.99910E-01,3.34952E+00
-2.99905E-01,3.35089E+00
-2.99900E-01,3.35013E+00
-2.99895E-01,3.35059E+00
-2.99890E-01,3.35165E+00
-2.99885E-01,3.35135E+00
-2.99880E-01,3.34998E+00
-2.99875E-01,3.34906E+00
-2.99870E-01,3.34921E+00
-2.99865E-01,3.34891E+00
-2.99860E-01,3.34860E+00
-2.99855E-01,3.34845E+00
-2.99850E-01,3.34723E+00
-2.99845E-01,3.34692E+00
-2.99840E-01,3.34647E+00
-2.99835E-01,3.34586E+00
-2.99830E-01,3.34769E+00
-2.99825E-01,3.34662E+00
-2.99820E-01,3.34662E+00
-2.99814E-01,3.34647E+00
-2.99809E-01,3.34692E+00
-2.99804E-01,3.34631E+00
-2.99799E-01,3.34509E+00
-2.99794E-01,3.34616E+00
-2.99789E-01,3.34601E+00
-2.99784E-01,3.34753E+00
-2.99779E-01,3.34799E+00
-2.99774E-01,3.34876E+00
-2.99769E-01,3.34860E+00
-2.99764E-01,3.34815E+00
-2.99759E-01,3.34769E+00
-2.99754E-01,3.34723E+00
-2.99749E-01,3.34845E+00
-2.99744E-01,3.34799E+00
-2.99739E-01,3.34723E+00
-2.99734E-01,3.34769E+00
-2.99729E-01,3.34677E+00
-2.99724E-01,3.34815E+00
-2.99719E-01,3.34769E+00
-2.99714E-01,3.34830E+00
-2.99709E-01,3.34876E+00
-2.99704E-01,3.34769E+00
-2.99699E-01,3.34830E+00
-2.99694E-01,3.34738E+00
-2.99688E-01,3.34662E+00
-2.99683E-01,3.34708E+00
-2.99678E-01,3.34677E+00
-2.99673E-01,3.34601E+00
-2.99668E-01,3.34662E+00
-2.99663E-01,3.34677E+00
-2.99658E-01,3.34708E+00
-2.99653E-01,3.34647E+00
-2.99648E-01,3.34647E+00
-2.99643E-01,3.34631E+00
-2.99638E-01,3.34692E+00
-2.99633E-01,3.34799E+00
-2.99628E-01,3.34784E+00
-2.99623E-01,3.34845E+00
-2.99618E-01,3.34876E+00
-2.99613E-01,3.34998E+00
-2.99608E-01,3.34982E+00
-2.99603E-01,3.34921E+00
-2.99598E-01,3.34876E+00
-2.99593E-01,3.34815E+00
-2.99588E-01,3.34815E+00
-2.99583E-01,3.34815E+00
-2.99578E-01,3.34799E+00
-2.99573E-01,3.34723E+00
-2.99568E-01,3.34738E+00
-2.99562E-01,3.34799E+00
-2.99557E-01,3.34784E+00
-2.99552E-01,3.34815E+00
-2.99547E-01,3.34784E+00
-2.99542E-01,3.34631E+00
-2.99537E-01,3.34769E+00
-2.99532E-01,3.34753E+00
-2.99527E-01,3.34753E+00
-2.99522E-01,3.34677E+00
-2.99517E-01,3.34677E+00
-2.99512E-01,3.34723E+00
-2.99507E-01,3.34799E+00
-2.99502E-01,3.34799E+00
-2.99497E-01,3.34799E+00
-2.99492E-01,3.34845E+00
-2.99487E-01,3.34845E+00
-2.99482E-01,3.34784E+00
-2.99477E-01,3.34799E+00
-2.99472E-01,3.34830E+00
-2.99467E-01,3.34753E+00
-2.99462E-01,3.34723E+00
-2.99457E-01,3.34753E+00
-2.99452E-01,3.34799E+00
-2.99447E-01,3.34876E+00
-2.99442E-01,3.34830E+00
-2.99436E-01,3.34784E+00
-2.99431E-01,3.34845E+00
-2.99426E-01,3.34860E+00
-2.99421E-01,3.34845E+00
-2.99416E-01,3.34876E+00
-2.99411E-01,3.34830E+00
-2.99406E-01,3.34830E+00
-2.99401E-01,3.34784E+00
-2.99396E-01,3.34860E+00
-2.99391E-01,3.34845E+00
-2.99386E-01,3.34876E+00
-2.99381E-01,3.34891E+00
-2.99376E-01,3.35028E+00
-2.99371E-01,3.35089E+00
-2.99366E-01,3.34982E+00
-2.99361E-01,3.34921E+00
-2.99356E-01,3.34891E+00
-2.99351E-01,3.34937E+00
-2.99346E-01,3.35028E+00
-2.99341E-01,3.34967E+00
-2.99336E-01,3.35013E+00
-2.99331E-01,3.34952E+00
-2.99326E-01,3.34967E+00
-2.99321E-01,3.34876E+00
-2.99316E-01,3.34769E+00
-2.99310E-01,3.34845E+00
-2.99305E-01,3.34830E+00
-2.99300E-01,3.34708E+00
-2.99295E-01,3.34555E+00
-2.99290E-01,3.34525E+00
-2.99285E-01,3.34631E+00
-2.99280E-01,3.34708E+00
-2.99275E-01,3.34708E+00
-2.99270E-01,3.34616E+00
-2.99265E-01,3.34692E+00
-2.99260E-01,3.34692E+00
-2.99255E-01,3.34784E+00
-2.99250E-01,3.34738E+00
-2.99245E-01,3.34815E+00
-2.99240E-01,3.34860E+00
-2.99235E-01,3.34860E+00
-2.99230E-01,3.35059E+00
-2.99225E-01,3.35074E+00
-2.99220E-01,3.34982E+00
-2.99215E-01,3.35013E+00
-2.99210E-01,3.35059E+00
-2.99205E-01,3.35150E+00
-2.99200E-01,3.35028E+00
-2.99195E-01,3.34952E+00
-2.99190E-01,3.34998E+00
-2.99184E-01,3.35043E+00
-2.99179E-01,3.35043E+00
-2.99174E-01,3.34952E+00
-2.99169E-01,3.34921E+00
-2.99164E-01,3.34906E+00
-2.99159E-01,3.34784E+00
-2.99154E-01,3.34692E+00
-2.99149E-01,3.34784E+00
-2.99144E-01,3.34845E+00
-2.99139E-01,3.34753E+00
-2.99134E-01,3.34738E+00
-2.99129E-01,3.34799E+00
-2.99124E-01,3.34601E+00
-2.99119E-01,3.34769E+00
-2.99114E-01,3.34845E+00
-2.99109E-01,3.34769E+00
-2.99104E-01,3.34753E+00
-2.99099E-01,3.34830E+00
-2.99094E-01,3.34876E+00
-2.99089E-01,3.34830E+00
-2.99084E-01,3.34876E+00
-2.99079E-01,3.34876E+00
-2.99074E-01,3.34921E+00
-2.99069E-01,3.34891E+00
-2.99064E-01,3.34876E+00
-2.99058E-01,3.34753E+00
-2.99053E-01,3.34784E+00
-2.99048E-01,3.34708E+00
-2.99043E-01,3.34815E+00
-2.99038E-01,3.34845E+00
-2.99033E-01,3.34815E+00
-2.99028E-01,3.34738E+00
-2.99023E-01,3.34799E+00
-2.99018E-01,3.34799E+00
-2.99013E-01,3.34845E+00
-2.99008E-01,3.34815E+00
-2.99003E-01,3.34708E+00
-2.98998E-01,3.34799E+00
-2.98993E-01,3.34784E+00
-2.98988E-01,3.34616E+00
-2.98983E-01,3.34631E+00
-2.98978E-01,3.34631E+00
-2.98973E-01,3.34616E+00
-2.98968E-01,3.34616E+00
-2.98963E-01,3.34647E+00
-2.98958E-01,3.34555E+00
-2.98953E-01,3.34586E+00
-2.98948E-01,3.34631E+00
-2.98943E-01,3.34555E+00
-2.98938E-01,3.34708E+00
-2.98932E-01,3.34647E+00
-2.98927E-01,3.34616E+00
-2.98922E-01,3.34616E+00
-2.98917E-01,3.34631E+00
-2.98912E-01,3.34631E+00
-2.98907E-01,3.34677E+00
-2.98902E-01,3.34738E+00
-2.98897E-01,3.34723E+00
-2.98892E-01,3.34830E+00
-2.98887E-01,3.34891E+00
-2.98882E-01,3.34799E+00
-2.98877E-01,3.34815E+00
-2.98872E-01,3.34845E+00
-2.98867E-01,3.34784E+00
-2.98862E-01,3.34586E+00
-2.98857E-01,3.34616E+00
-2.98852E-01,3.34494E+00
-2.98847E-01,3.34509E+00
-2.98842E-01,3.34448E+00
-2.98837E-01,3.34570E+00
-2.98832E-01,3.34647E+00
-2.98827E-01,3.34799E+00
-2.98822E-01,3.34906E+00
-2.98817E-01,3.34891E+00
-2.98812E-01,3.34921E+00
-2.98806E-01,3.35120E+00
-2.98801E-01,3.35089E+00
-2.98796E-01,3.35150E+00
-2.98791E-01,3.35272E+00
-2.98786E-01,3.35379E+00
-2.98781E-01,3.35318E+00
-2.98776E-01,3.35211E+00
-2.98771E-01,3.35089E+00
-2.98766E-01,3.35013E+00
-2.98761E-01,3.35089E+00
-2.98756E-01,3.35089E+00
-2.98751E-01,3.35165E+00
-2.98746E-01,3.35104E+00
-2.98741E-01,3.34982E+00
-2.98736E-01,3.34967E+00
-2.98731E-01,3.34891E+00
-2.98726E-01,3.34876E+00
-2.98721E-01,3.34753E+00
